X,Y,FID,Name_of_Sc,Level_,Status,SchSponsor,Type1,Type2,Type3,PupilTeach,ClassrmRat,ToiletRati,No_Classrm,BoysToilet,GirlsToilet,TeachersTo,TotalToile,TotalBoys,TotalGirls,TotalEnrol,GO_KTSC_M,GOK_TSC_F,authorityM,authorityF,PTA_BOG_M,PTA_BOG_F,OthersM,OthersF,NoTeaching,NonTeachin,Province,District,Division,Location,Costituenc,Latitude,Longitude
34.15,0.43,15695,MUNDIKA BOYS' PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,BOYS ONLY,DAY ONLY,ORDINARY,45.6,58.1,39.9,11,16,0,2,0,0,0,639,5,9,0,0,0,0,0,0,0,0,WESTERN,BUSIA,MATAYOS,BUKHAYO WEST,NAMBALE,0.43,34.15
34.63,0.15,15696,MWIREMBE PRI SCH.,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,41,41,41,2,1,1,1,0,0,0,82,0,0,0,0,0,2,0,0,0,0,WESTERN,BUTERE/MUMIAS,KHWISERO,KISA SOUTH,KHWISERO,0.15,34.63
34.15,0.43,15697,MUNDIKA SPECIAL UNIT,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,SPECIAL SCHOOL,2,10,5,1,1,1,2,0,0,0,10,4,1,0,0,0,0,0,0,0,1,WESTERN,BUSIA,MATAYOS,BUKHAYO WEST,NAMBALE,0.43,34.15
34.6,0.15,15698,BUHILI PRI  SCH.,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,33.6,50.4,67.2,8,3,3,1,0,0,0,403,4,4,0,0,3,1,0,0,1,1,WESTERN,BUTERE/MUMIAS,KHWISERO,KISA SOUTH,KHWISERO,0.15,34.6
34.7,0.12,15699,HOMBALA PRY SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,39.3,59,26.2,8,6,12,2,0,0,0,472,6,4,0,0,1,1,0,0,2,1,WESTERN,VIHIGA,SABATIA,WEST MARAGOLI,SABATIA,0.12,34.7
34.15,0.43,15700,MUNDIKA GIRLS' PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,DAY ONLY,ORDINARY,40.3,50.4,0,12,0,0,0,0,0,0,605,3,12,0,0,0,0,0,0,2,1,WESTERN,BUSIA,MATAYOS,BUKHAYO WEST,NAMBALE,0.43,34.15
34.69,0.11,15701,WAMAGE PRY SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT,MIXED,DAY ONLY,ORDINARY,45.4,33,30.3,11,6,6,3,0,0,0,363,5,3,0,0,0,0,0,0,1,1,WESTERN,VIHIGA,SABATIA,CHAVAKALI,SABATIA,0.11,34.69
34.59,0.15,15702,MUSHINAAKA PRI SCH,PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,MIXED,DAY ONLY,ORDINARY,35.1,42.9,32.2,9,6,6,2,0,0,0,386,3,6,0,0,0,2,0,0,1,1,WESTERN,BUTERE/MUMIAS,KHWISERO,NORTH KISA,KHWISERO,0.15,34.59
34.2,0.43,15703,NASIRA PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,64.4,88.5,47.2,8,8,7,2,0,0,0,708,6,4,0,0,0,1,0,0,2,1,WESTERN,BUSIA,MATAYOS,BUSIBWABO,NAMBALE,0.43,34.2
34.69,0.11,15704,WANONDI PRY SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,47.3,52.6,22.5,9,11,10,2,0,0,0,473,2,8,0,0,0,0,0,0,2,1,WESTERN,VIHIGA,SABATIA,CHAVAKALI,SABATIA,0.11,34.69
